# x_dif  y_dif
0.025  9.52542
0.075  3.15923
0.125  1.88599
0.175  1.34031
0.225  1.03716
0.275  0.844245
0.325  0.710688
0.375  0.612747
0.425  0.53785
0.475  0.478721
0.525  0.430855
0.575  0.391314
0.625  0.358099
0.675  0.329804
0.725  0.305413
0.775  0.284169
0.825  0.265499
0.875  0.248964
0.925  0.234216
0.975  0.220981
1.025  0.209036
1.075  0.198203
1.125  0.188333
1.175  0.179303
1.225  0.17101
1.275  0.163368
1.325  0.156302
1.375  0.14975
1.425  0.143658
1.475  0.137979
1.525  0.132673
1.575  0.127703
1.625  0.123039
1.675  0.118654
1.725  0.114522
1.775  0.110624
1.825  0.106939
1.875  0.103451
1.925  0.100144
1.975  0.0970039
2.025  0.0940193
2.075  0.0911785
2.125  0.0884714
2.175  0.0858888
2.225  0.0834222
2.275  0.0810641
2.325  0.0788074
2.375  0.0766457
2.425  0.0745731
2.475  0.0725843
2.525  0.0706742
2.575  0.0688384
2.625  0.0670724
2.675  0.0653725
2.725  0.063735
2.775  0.0621565
2.825  0.0606338
2.875  0.0591641
2.925  0.0577447
2.975  0.0563729
3.025  0.0550466
3.075  0.0537633
3.125  0.0525211
3.175  0.0513181
3.225  0.0501523
3.275  0.0490222
3.325  0.047926
3.375  0.0468623
3.425  0.0458297
3.475  0.0448267
3.525  0.0438523
3.575  0.0429051
3.625  0.041984
3.675  0.041088
3.725  0.040216
3.775  0.0393671
3.825  0.0385405
3.875  0.0377351
3.925  0.0369503
3.975  0.0361852
4.025  0.0354392
4.075  0.0347114
4.125  0.0340013
4.175  0.0333082
4.225  0.0326315
4.275  0.0319706
4.325  0.031325
4.375  0.0306942
4.425  0.0300776
4.475  0.0294748
4.525  0.0288853
4.575  0.0283087
4.625  0.0277446
4.675  0.0271925
4.725  0.0266521
4.775  0.0261231
4.825  0.025605
4.875  0.0250975
4.925  0.0246003
4.975  0.0241132
5.025  0.0236357
5.075  0.0231676
5.125  0.0227087
5.175  0.0222586
5.225  0.0218172
5.275  0.0213841
5.325  0.0209591
5.375  0.0205421
5.425  0.0201327
5.475  0.0197309
5.525  0.0193362
5.575  0.0189487
5.625  0.0185681
5.675  0.0181941
5.725  0.0178267
5.775  0.0174657
5.825  0.0171109
5.875  0.0167621
5.925  0.0164191
5.975  0.016082
6.025  0.0157504
6.075  0.0154243
6.125  0.0151035
6.175  0.0147879
6.225  0.0144773
6.275  0.0141718
6.325  0.013871
6.375  0.013575
6.425  0.0132836
6.475  0.0129966
6.525  0.0127141
6.575  0.0124359
6.625  0.0121618
6.675  0.0118919
6.725  0.011626
6.775  0.011364
6.825  0.0111059
6.875  0.0108515
6.925  0.0106008
6.975  0.0103536
7.025  0.01011
7.075  0.00986986
7.125  0.00963306
7.175  0.00939957
7.225  0.00916931
7.275  0.00894221
7.325  0.00871821
7.375  0.00849726
7.425  0.00827927
7.475  0.00806421
7.525  0.007852
7.575  0.00764259
7.625  0.00743593
7.675  0.00723196
7.725  0.00703063
7.775  0.00683189
7.825  0.00663569
7.875  0.00644199
7.925  0.00625072
7.975  0.00606186
8.025  0.00587535
8.075  0.00569114
8.125  0.00550921
8.175  0.0053295
8.225  0.00515198
8.275  0.0049766
8.325  0.00480332
8.375  0.00463212
8.425  0.00446295
8.475  0.00429578
8.525  0.00413056
8.575  0.00396727
8.625  0.00380588
8.675  0.00364635
8.725  0.00348864
8.775  0.00333273
8.825  0.00317859
8.875  0.00302619
8.925  0.00287549
8.975  0.00272647
9.025  0.0025791
9.075  0.00243336
9.125  0.00228921
9.175  0.00214664
9.225  0.00200561
9.275  0.0018661
9.325  0.00172809
9.375  0.00159155
9.425  0.00145646
9.475  0.00132279
9.525  0.00119053
9.575  0.00105965
9.625  0.000930126
9.675  0.000801944
9.725  0.000675079
9.775  0.000549512
9.825  0.000425223
9.875  0.000302193
9.925  0.000180402
9.975  5.98327e-05
