# x  flux_mc  flux_mc_stdev
0.05  21.9634  2.18197
0.15  4.29718  0.357894
0.25  1.74652  0.137457
0.35  1.21947  0.0798824
0.45  0.669233  0.0465969
0.55  0.53518  0.0334304
0.65  0.43235  0.0250159
0.75  0.395533  0.0200572
0.85  0.29594  0.0154272
0.95  0.244899  0.0124805
1.05  0.217095  0.0104618
1.15  0.223098  0.00918614
1.25  0.187321  0.00776285
1.35  0.172394  0.00674684
1.45  0.152849  0.00587078
1.55  0.13973  0.00517126
1.65  0.135584  0.00460819
1.75  0.127549  0.00410672
1.85  0.115996  0.00367545
1.95  0.105871  0.00330799
2.05  0.0933347  0.00299312
2.15  0.0848559  0.00272121
2.25  0.0913124  0.00245216
2.35  0.0752072  0.00227582
2.45  0.075159  0.00207698
2.55  0.0695028  0.00191677
2.65  0.0695689  0.00174431
2.75  0.052397  0.00166358
2.85  0.0549565  0.00153734
2.95  0.0552257  0.00141407
3.05  0.0508087  0.00132834
3.15  0.0476342  0.00124534
3.25  0.0472342  0.00115207
3.35  0.04708  0.00105906
3.45  0.044591  0.000996338
3.55  0.0433772  0.000925881
3.65  0.0400774  0.000887435
3.75  0.0372896  0.000848246
3.85  0.0369882  0.00078584
3.95  0.0403412  0.000655744
4.05  0.0352204  0.000684229
4.15  0.0326195  0.000665655
4.25  0.0315432  0.000628214
4.35  0.0301517  0.000599025
4.45  0.0290128  0.000569302
4.55  0.0287125  0.000528409
4.65  0.0255772  0.000535809
4.75  0.0247937  0.000509616
4.85  0.0248983  0.000471555
4.95  0.0262408  0.000404503
5.05  0.0230901  0.000432808
5.15  0.0228621  0.000404043
5.25  0.0222305  0.000384209
5.35  0.0218799  0.000359954
5.45  0.0204681  0.000359739
5.55  0.0195305  0.000350872
5.65  0.01897  0.000336181
5.75  0.0184362  0.00032223
5.85  0.0175556  0.000316245
5.95  0.0163186  0.000317022
6.05  0.0168706  0.000286632
6.15  0.0163265  0.000277386
6.25  0.0146267  0.000289873
6.35  0.0146827  0.000272358
6.45  0.0139823  0.000268224
6.55  0.0137256  0.000257277
6.65  0.0135318  0.000245739
6.75  0.0125575  0.000248252
6.85  0.0123971  0.000237813
6.95  0.0120594  0.000230747
7.05  0.010647  0.000238967
7.15  0.0110517  0.000223357
7.25  0.0102342  0.000224054
7.35  0.0095599  0.000222323
7.45  0.00940535  0.000215378
7.55  0.00903221  0.000210974
7.65  0.0083897  0.000209027
7.75  0.00821433  0.000203361
7.85  0.00778686  0.000199802
7.95  0.00807064  0.000190997
8.05  0.00776086  0.000187273
8.15  0.00691266  0.000187166
8.25  0.00634858  0.000184177
8.35  0.00620885  0.00017976
8.45  0.00542751  0.000176155
8.55  0.00556255  0.000172075
8.65  0.00526451  0.000168152
8.75  0.00468755  0.000163547
8.85  0.00478542  0.000160375
8.95  0.00433138  0.000155784
9.05  0.0043042  0.000152622
9.15  0.00363084  0.000146039
9.25  0.00326445  0.000140371
9.35  0.00302204  0.000135556
9.45  0.00272674  0.000129856
9.55  0.00276591  0.000128387
9.65  0.00229016  0.000119689
9.75  0.00209275  0.000114625
9.85  0.00184543  0.000108307
9.95  0.00157542  0.000100901
