# x  flux_mc  flux_mc_stdev
0.05  25.7354  0.234127
0.15  4.30571  0.0358198
0.25  1.81675  0.0139738
0.35  1.05526  0.00754666
0.45  0.727821  0.0048153
0.55  0.527441  0.00332492
0.65  0.426786  0.00249022
0.75  0.348789  0.00192627
0.85  0.29572  0.00154236
0.95  0.255602  0.00126426
1.05  0.224639  0.00105621
1.15  0.198797  0.000894565
1.25  0.179059  0.000768657
1.35  0.16397  0.000668408
1.45  0.147749  0.000583692
1.55  0.135462  0.000514813
1.65  0.126628  0.000457895
1.75  0.1172  0.000408775
1.85  0.109928  0.000367005
1.95  0.101728  0.000330697
2.05  0.0961215  0.000299305
2.15  0.0901796  0.000271836
2.25  0.0844852  0.000247796
2.35  0.0801634  0.000226349
2.45  0.0764686  0.000207096
2.55  0.0723478  0.000190225
2.65  0.0681866  0.000175398
2.75  0.0647439  0.000161872
2.85  0.0618814  0.000149422
2.95  0.0589654  0.000138365
3.05  0.0565029  0.000128081
3.15  0.0539469  0.00011899
3.25  0.0517045  0.000110532
3.35  0.048932  0.000103688
3.45  0.0472143  9.62928e-05
3.55  0.045027  9.03091e-05
3.65  0.0431247  8.46172e-05
3.75  0.0415402  7.90548e-05
3.85  0.0400053  7.39742e-05
3.95  0.0382941  6.97548e-05
4.05  0.0369975  6.52721e-05
4.15  0.0352069  6.22213e-05
4.25  0.0339543  5.85621e-05
4.35  0.0325781  5.55571e-05
4.45  0.0313378  5.26514e-05
4.55  0.0301677  4.99467e-05
4.65  0.0290689  4.74113e-05
4.75  0.0280261  4.50528e-05
4.85  0.0270742  4.27652e-05
4.95  0.0262671  4.03851e-05
5.05  0.02521  3.88688e-05
5.15  0.0243863  3.7009e-05
5.25  0.0233429  3.59217e-05
5.35  0.0223714  3.48542e-05
5.45  0.0214948  3.37396e-05
5.55  0.0206732  3.26637e-05
5.65  0.0198606  3.1723e-05
5.75  0.0192223  3.05203e-05
5.85  0.0185061  2.9637e-05
5.95  0.0178082  2.88358e-05
6.05  0.017205  2.79344e-05
6.15  0.0164157  2.75498e-05
6.25  0.0159076  2.66473e-05
6.35  0.0151619  2.63315e-05
6.45  0.0146784  2.55555e-05
6.55  0.0141294  2.49867e-05
6.65  0.0136087  2.44305e-05
6.75  0.0130944  2.39236e-05
6.85  0.0125368  2.35459e-05
6.95  0.0119747  2.3213e-05
7.05  0.0114978  2.27785e-05
7.15  0.0110674  2.23126e-05
7.25  0.0105638  2.19853e-05
7.35  0.0101453  2.15674e-05
7.45  0.00961023  2.13142e-05
7.55  0.00931281  2.08038e-05
7.65  0.00888628  2.04611e-05
7.75  0.00847507  2.01144e-05
7.85  0.00810079  1.97451e-05
7.95  0.00780523  1.93266e-05
8.05  0.00737859  1.90169e-05
8.15  0.00696286  1.86912e-05
8.25  0.00658405  1.83382e-05
8.35  0.00627539  1.79562e-05
8.45  0.00594797  1.75814e-05
8.55  0.00562841  1.72017e-05
8.65  0.00523686  1.68141e-05
8.75  0.00497452  1.64188e-05
8.85  0.004651  1.60072e-05
8.95  0.00434757  1.55849e-05
9.05  0.00403089  1.51381e-05
9.15  0.00374708  1.46883e-05
9.25  0.00348236  1.4234e-05
9.35  0.00319226  1.37358e-05
9.45  0.00291833  1.32243e-05
9.55  0.00263826  1.26725e-05
9.65  0.00232238  1.20217e-05
9.75  0.002074  1.1428e-05
9.85  0.00178596  1.07045e-05
9.95  0.00147864  9.84822e-06
